Date,Id,Temperature
1854-07-01,3,20.426
1853-08-01,3,19.308
1854-08-01,3,19.291
1850-07-01,3,19.233
1855-08-01,3,19.012
1850-06-01,3,18.946
1853-07-01,3,18.923
1857-07-01,3,18.717
1853-06-01,3,18.611
1850-08-01,3,18.477
1855-07-01,3,18.467
1856-08-01,3,18.386
1856-07-01,3,18.349
1856-06-01,3,18.326
1857-08-01,3,18.194
1854-06-01,3,18.188
1852-07-01,3,17.795
1852-06-01,3,17.76
1853-09-01,3,17.691
1855-06-01,3,17.642
1852-08-01,3,17.567
1857-06-01,3,17.372
1851-08-01,3,17.361
1854-09-01,3,17.357
1851-06-01,3,17.288
1857-09-01,3,17.223
1856-09-01,3,17.21
1851-07-01,3,17.103
1855-09-01,3,17.078
1853-07-01,7,16.999
1852-07-01,7,16.984
1851-07-01,7,16.831
1853-08-01,7,16.789
1850-07-01,7,16.783
1854-07-01,7,16.775
1855-05-01,3,16.77
1854-05-01,3,16.748
1850-08-01,7,16.718
1854-08-01,7,16.707
1856-05-01,3,16.704
1855-08-01,7,16.685
1855-07-01,7,16.675
1856-07-01,7,16.675
1852-09-01,3,16.665
1851-08-01,7,16.621
1852-06-01,7,16.619
1852-08-01,7,16.566
1853-05-01,3,16.543
1851-06-01,7,16.496
1856-06-01,7,16.492
1857-07-01,7,16.478
1857-08-01,7,16.459
1853-06-01,7,16.455
1855-06-01,7,16.445
1856-08-01,7,16.39
1851-09-01,3,16.36
1850-06-01,7,16.353
1854-06-01,7,16.286
1857-06-01,7,16.175
1854-09-01,7,16.098
1851-09-01,7,16.058
1852-09-01,7,16.038
1853-09-01,7,15.942
1852-05-01,7,15.899
1850-09-01,7,15.886
1850-09-01,3,15.846
1857-09-01,7,15.84
1852-05-01,3,15.835
1855-09-01,7,15.829
1855-05-01,7,15.822
1856-05-01,7,15.813
1853-05-01,7,15.793
1854-05-01,7,15.793
1851-05-01,7,15.771
1850-05-01,3,15.655
1856-09-01,7,15.641
1857-05-01,3,15.6
1850-05-01,7,15.507
1854-10-01,7,15.378
1854-10-01,3,15.341
1857-05-01,7,15.279
1851-10-01,7,15.213
1855-04-01,7,15.187
1852-10-01,7,15.178
1855-10-01,7,15.075
1851-05-01,3,15.01
1858-04-01,7,14.967
1851-10-01,3,14.961
1854-04-01,7,14.945
1856-04-01,7,14.945
1853-04-01,7,14.919
1857-10-01,7,14.918
1853-10-01,7,14.874
1852-10-01,3,14.849
1850-10-01,7,14.831
1852-04-01,7,14.786
1856-10-01,7,14.783
1853-10-01,3,14.757
1854-07-01,1,14.692
1850-04-01,7,14.667
1853-07-01,1,14.645
1851-04-01,7,14.64
1857-10-01,3,14.558
1851-07-01,1,14.531
1852-07-01,1,14.512
1850-07-01,1,14.492
1857-04-01,7,14.481
1856-04-01,3,14.387
1855-10-01,3,14.26
1851-04-01,3,14.236
1855-03-01,7,14.172
1851-11-01,7,14.161
1856-10-01,3,14.128
1854-11-01,7,14.123
1855-11-01,7,14.118
1854-03-01,7,14.089
1858-03-01,7,14.044
1850-03-01,7,14.043
1850-08-01,1,14.039
1853-03-01,7,14.033
1856-07-01,1,14.019
1856-03-01,7,13.957
1853-08-01,1,13.953
1857-07-01,1,13.953
1852-11-01,7,13.948
1855-07-01,1,13.926
1857-03-01,7,13.916
1858-04-01,3,13.912
1850-11-01,7,13.897
1851-03-01,7,13.897
1854-08-01,1,13.889
1856-11-01,7,13.856
1853-11-01,7,13.829
1857-11-01,7,13.829
1852-12-01,7,13.782
1851-08-01,1,13.751
1852-03-01,7,13.736
1853-04-01,3,13.72
1855-04-01,3,13.709
1855-02-01,7,13.646
1851-12-01,7,13.638
1850-02-01,7,13.588
1855-08-01,1,13.547
1856-06-01,1,13.496
1854-12-01,7,13.467
1851-06-01,1,13.418
1853-06-01,1,13.41
1854-04-01,3,13.402
1857-02-01,7,13.385
1855-01-01,7,13.384
1856-01-01,7,13.368
1857-12-01,7,13.367
1853-02-01,7,13.362
1851-02-01,7,13.331
1853-12-01,7,13.324
1856-12-01,7,13.321
1852-02-01,7,13.311
1856-02-01,7,13.311
1852-08-01,1,13.304
1850-12-01,7,13.3
1858-02-01,7,13.29
1854-02-01,7,13.248
1851-01-01,7,13.245
1852-01-01,7,13.231
1858-01-01,7,13.221
1855-12-01,7,13.215
1857-08-01,1,13.203
1850-10-01,3,13.189
1852-06-01,1,13.164
1850-06-01,1,13.15
1853-01-01,7,13.143
1857-04-01,3,13.107
1856-08-01,1,13.021
1855-06-01,1,12.984
1854-01-01,7,12.983
1857-01-01,7,12.972
1850-04-01,3,12.934
1850-01-01,7,12.833
1854-06-01,1,12.829
1857-06-01,1,12.611
1852-11-01,3,12.009
1853-09-01,1,11.71
1851-09-01,1,11.677
1854-09-01,1,11.514
1851-03-01,3,11.507
1850-09-01,1,11.505
1852-09-01,1,11.478
1850-11-01,3,11.388
1853-11-01,3,11.269
1852-04-01,3,11.249
1855-05-01,1,11.186
1852-05-01,1,11.169
1855-09-01,1,11.141
1855-11-01,3,11.117
1851-05-01,1,11.113
1854-05-01,1,11.095
1857-09-01,1,11.056
1853-05-01,1,10.975
1856-09-01,1,10.948
1852-12-01,3,10.781
1854-11-01,3,10.707
1856-05-01,1,10.53
1857-11-01,3,10.527
1854-03-01,3,10.469
1858-03-01,3,10.44
1856-11-01,3,10.349
1850-03-01,3,10.347
1856-03-01,3,10.327
1853-03-01,3,10.325
1857-03-01,3,10.21
1855-03-01,3,10.16
1850-05-01,1,10.004
1850-02-01,3,9.97
1857-05-01,1,9.885
1851-02-01,3,9.808
1854-10-01,1,9.763
1857-02-01,3,9.602
1857-12-01,3,9.509
1852-03-01,3,9.215
1851-10-01,1,9.122
1858-01-01,3,9.044
1853-01-01,3,8.972
1851-01-01,3,8.951
1852-10-01,1,8.91
1854-01-01,3,8.786
1855-04-01,1,8.58
1852-02-01,3,8.569
1853-10-01,1,8.535
